Drug_ID,Drug,Y
"Heptanoic acid, 2-propenyl ester",C=CCOC(=O)CCCCCC,2.532
"9-Octadecenoic acid, 12-(acetyloxy)-, 2-methoxyethyl ester, (R-(Z))- (9CI)",CCCCCCC(CC=CCCCCCCCC(=O)OCCOC)OC(C)=O,1.422
"1-Octanol, 2-butyl-",CCCCCCC(CO)CCCC,1.156
"(4R*,5S*(R*),10S*(S*(S*)))-(+)-10-((3,6-Dihydro-6-oxo-2H-pyran-2-yl)hydroxymethyl)-5,9,10,11-tetrahydro-4-hydroxy-5-(1-hydroxyheptyl)-1H-cyclonona(1,2-c:5,6-c')difuran-1,3,6,8(4H)-tetrone",CCCCCCC(O)C1C2=C(CC(C(O)C3CC=CC(=O)O3)CC3=C(C(=O)OC3=O)C1O)C(=O)OC2=O,3.113
2-Nonenal,CCCCCCC=CC=O,1.4480000000000002
N-Heptanal,CCCCCCC=O,0.911
"1,3-Benzenediol, 4-hexyl-",CCCCCCc1ccc(O)cc1O,2.548
"Octanoic acid, vinyl ester (mixed isomers)",C=COC(=O)CCCCCCC,1.358
"Octanoic acid, 2,6-dibromo-4-cyanophenyl ester",CCCCCCCC(=O)Oc1c(Br)cc(C#N)cc1Br,3.207
"Octanoic acid, (4-cyano-2,6-diiodo)phenyl ester",CCCCCCCC(=O)Oc1c(I)cc(C#N)cc1I,3.418
"Octanoic acid, 4-methylphenyl ester",CCCCCCCC(=O)Oc1ccc(C)cc1,2.166
2-Nonanone,CCCCCCCC(C)=O,1.648
Octanoic acid,CCCCCCCC(=O)O,1.156
1-Octanal,CCCCCCCC=O,1.357
"Phenol, 2,6-dimethyl-4-heptyl-",CCCCCCCc1cc(C)c(O)c(C)c1,2.139
"Octane, 1-bromo-",CCCCCCCCBr,1.585
9-Octadecenoic acid (9Z)-,CCCCCCCCC=CCCCCCCCC(=O)O,0.5820000000000001
"Octadecanoic acid, 9,10-epoxy-, 2-ethylhexyl ester",CCCCCCCCC1OC1CCCCCCCC(=O)OCC(CC)CCCC,1.125
"Oxiraneoctanoic acid, 3-octyl-, 2-propenyl ester (9CI)",C=CCOC(=O)CCCCCCCC1OC1CCCCCCCC,2.451
2-Undecanone,CCCCCCCCCC(C)=O,1.5319999999999998
1-Decanal,CCCCCCCCCC=O,1.622
"1,3-Dioxolane, 4-carbamoyloxymethyl-2-methyl-2-nonyl-",CCCCCCCCCC1(C)OCC(COC(N)=O)O1,1.981
"Phenol, 2,2'-methylenebis(4-methyl-6-nonyl-",CCCCCCCCCc1cc(C)cc(Cc2cc(C)cc(CCCCCCCCC)c2O)c1O,1.163
"Dodecanoic acid, 2-thiocyanatoethyl ester (9CI)",CCCCCCCCCCCC(=O)OCCSC#N,2.757
Lauraldehyde (8CI),CCCCCCCCCCCC=O,0.904
"Octadecanoic acid, butyl ester",CCCCCCCCCCCCCCCCCC(=O)OCCCC,1.027
"Pyrimidine, 2-heptadecyl-4,4,6-trimethyltetrahydro-",CCCCCCCCCCCCCCCCCC1=NC(C)(C)CC(C)N1,2.869
"1H-Imidazole, 2-heptadecyl-4,5-dihydro-",CCCCCCCCCCCCCCCCCC1=NCCN1,1.988
"1H-Imidazole-1-ethanol, 2-heptadecyl-4,5-dihydro-",CCCCCCCCCCCCCCCCCC1=NCCN1CCO,1.967
1-Hexadecanol,CCCCCCCCCCCCCCCCO,1.686
1-Pentadecanamine,CCCCCCCCCCCCCCCN,2.537
"Morpholine, 2,6-dimethyl-4-tridecyl-",CCCCCCCCCCCCCN1CC(C)OC(C)C1,2.661
1-Tridecanol,CCCCCCCCCCCCCO,1.0659999999999998
"2-Propenoic acid, tridecyl ester",C=CC(=O)OCCCCCCCCCCCCC,0.755
1-Dodecanamine,CCCCCCCCCCCCN,2.259
"1-Dodecanamine, N,N-dimethyl-",CCCCCCCCCCCCN(C)C,2.46
Dodecyl alcohol,CCCCCCCCCCCCO,1.163
"Sulfuric acid, monododecyl ester",CCCCCCCCCCCCOS(=O)(=O)O,2.312
Undecyl alcohol,CCCCCCCCCCCO,1.759
1-Decanamine,CCCCCCCCCCN,2.75
"2-Propenoic acid, decyl ester",C=CC(=O)OCCCCCCCCCC,1.517
"1,2-Benzenedicarboxylic acid, butyl decyl ester (9CI)",CCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCC,1.237
"1,2-Benzenedicarboxylic acid, decyl hexyl ester",CCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,0.901
"1,2-Benzenedicarboxylic acid, decyl octyl ester",CCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,0.969
"4-Isothiazolin-3-one, 2-octyl-",CCCCCCCCn1sccc1=O,2.589
"Benzoic acid, 3,4,5-trihydroxy-, octyl ester",CCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1,2.1590000000000003
"Phosphorous acid, 2-ethylhexyl octyl phenyl ester",CCCCCCCCOP(OCC(CC)CCCC)Oc1ccccc1,1.7380000000000002
1-Hexanamine,CCCCCCN,2.1790000000000003
"1-Hexanamine, N-hexyl-",CCCCCCNCCCCCC,2.688
"Benzeneacetic acid, alpha-hydroxy-, hexyl ester (9CI)",CCCCCCOC(=O)C(O)c1ccccc1,1.143
"2-Propenoic acid, hexyl ester",C=CC(=O)OCCCCCC,0.779
"1,2-Benzenedicarboxylic acid, dihexyl ester",CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,1.053
"Benzoic acid, hexyl ester",CCCCCCOC(=O)c1ccccc1,1.225
"Nonanedioic acid, dihexyl ester",CCCCCCOC(=O)CCCCCCCC(=O)OCCCCCC,1.348
"Acetic acid, hexyl ester",CCCCCCOC(C)=O,0.536
"Hexane, 1,1'-oxybis-",CCCCCCOCCCCCC,0.78
"Ethanol, 2-(hexyloxy)-",CCCCCCOCCO,1.995
"Succinic acid, bis(2-(hexyloxy)ethyl) ester",CCCCCCOCCOC(=O)CCC(=O)OCCOCCCCCC,1.942
1-Hexanethiol,CCCCCCS,1.974
"1-Pentanamine, N-nitroso-N-pentyl- (9CI)",CCCCCN(CCCCC)N=O,2.027
"1-Pentanamine, N-pentyl-",CCCCCNCCCCC,2.765
"2-Butenedioic acid (2Z)-, dipentyl ester",CCCCCOC(=O)C=CC(=O)OCCCCC,1.717
"Acetic acid, pentyl ester",CCCCCOC(C)=O,1.3019999999999998
1-Butanamine,CCCCN,2.301
"Urea, 1-butyl-3-(3,4-dichlorophenyl)-1-methyl-",CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,2.398
"1-Butanamine, N-butyl-N-methyl-",CCCCN(C)CCCC,2.424
"Butylamine, N-methyl-N-nitroso-",CCCCN(C)N=O,2.951
"Carbamothioic acid, butylethyl-, S-propyl ester (9CI)",CCCCN(CC)C(=O)SCCC,2.344
"p-Toluidine, N-butyl-N-ethyl-alpha,alpha,alpha-trifluoro-2,6-dinitro-",CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],1.525
"Urea, tetrabutyl-",CCCCN(CCCC)C(=O)N(CCCC)CCCC,1.224
"2-Propanol, 1-dibutylamino-",CCCCN(CCCC)CC(C)O,1.974
"Propionitrile, 3-(dibutylamino)- (6CI,7CI,8CI)",CCCCN(CCC#N)CCCC,1.749
N-Butyl-N-(4-hydroxybutyl)nitrosamine,CCCCN(CCCCO)N=O,1.986
"Ethanol, 2-(dibutylamino)-",CCCCN(CCO)CCCC,2.209
"Acetic acid, butylnitrosaminomethyl ester",CCCCN(COC(C)=O)N=O,2.065
"Urea, N-butyl-N-nitroso- (9CI)",CCCCN(N=O)C(N)=O,2.56
"Pyrimidine, 3,4,5,6-tetrahydro-3-butyl-2-(alpha-ethoxybenzyl)-5-methyl-",CCCCN1CC(C)CN=C1C(OCC)c1ccccc1,2.518
"Pyrrolidine, 1-butyl-2-((3,4-dichlorophenyl)imino)-",CCCCN1CCCC1=Nc1ccc(Cl)c(Cl)c1,1.971
"Acetamidine, 2-(4-chlorophenyl)-N,N'-dibutyl-2-ethoxy-",CCCCN=C(NCCCC)C(OCC)c1ccc(Cl)cc1,3.169
"Carbamic acid, (1-((butylamino)carbonyl)-1H-benzimidazol-2-yl)-, methyl ester",CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc21,1.463
"Benzenesulfonamide, N-((butylamino)carbonyl)-4-methyl-",CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,2.036
"Carbamic acid, butyl-, 2-(hydroxymethyl)-2-methylpentyl ester carbamate (ester) (8CI)",CCCCNC(=O)OCC(C)(CCC)COC(N)=O,2.421
"Urea, 1,1,3-tributyl-2-thio- (8CI)",CCCCNC(=S)N(CCCC)CCCC,1.911
"Thiourea, N-butyl-N'-phenyl- (9CI)",CCCCNC(=S)Nc1ccccc1,3.143
"Urea,1,3-dibutyl-2-thio- (8CI)",CCCCNC(=S)NCCCC,2.7310000000000003
"Benzenemethanamine, N-butyl-alpha-methyl- (9CI)",CCCCNC(C)c1ccccc1,2.692
"Phosphonic acid, 1-(butylamino)cyclohexyl-, dibutyl ester",CCCCNC1(P(=O)(OCCCC)OCCCC)CCCCC1,2.064
"Benzenamine, N-butyl-",CCCCNc1ccccc1,1.964
"1-Butanamine, N-ethyl-",CCCCNCC,2.514
"1-Butanamine, N-butyl-",CCCCNCCCC,2.835
"Ethanol, 2-(butylamino)-",CCCCNCCO,2.008
Butyl alcohol,CCCCO,1.972
Acrylic acid butyl ester (8CI),C=CC(=O)OCCCC,2.154
"2-Butenedioic acid (E)-, butyl oxiranylmethyl ester (9CI)",CCCCOC(=O)C=CC(=O)OCC1CO1,2.507
"2-Butenedioic acid (2Z)-, dibutyl ester",CCCCOC(=O)C=CC(=O)OCCCC,1.787
"Benzoic acid, butyl ester",CCCCOC(=O)c1ccccc1,1.54
"1,2-Benzenedicarboxylic acid, dibutyl ester",CCCCOC(=O)c1ccccc1C(=O)OCCCC,1.541
"Butyric acid, 2,3-epoxy-, butyl ester",CCCCOC(=O)C1OC1C,2.5
"Succinic acid, phosphono-, tetrabutyl ester",CCCCOC(=O)CC(C(=O)OCCCC)P(=O)(OCCCC)OCCCC,1.228
"Butanoic acid, 3-oxo-, butyl ester",CCCCOC(=O)CC(C)=O,1.148
"Phosphorothioic acid, S-(1,2-dibutoxycarbonyl)ethyl O,O-dimethyl ester",CCCCOC(=O)CC(SP(=O)(OC)OC)C(=O)OCCCC,2.857
"Butanedioic acid, dibutyl ester",CCCCOC(=O)CCC(=O)OCCCC,1.459
"Decanedioic acid, dibutyl ester",CCCCOC(=O)CCCCCCCCC(=O)OCCCC,1.293
"10-Undecenoic acid, butyl ester",C=CCCCCCCCCC(=O)OCCCC,1.682
"Acetic acid, (2,4-dichlorophenoxy)-, butyl ester",CCCCOC(=O)COc1ccc(Cl)cc1Cl,2.665
"Butane, 1,1'-(ethylidenebis(oxy))bis- (9CI)",CCCCOC(C)OCCCC,1.297
"Pyrimidine, 3,4,5,6-tetrahydro-2-(alpha-butoxybenzyl)-",CCCCOC(C1=NCCCN1)c1ccccc1,2.9
"Butane, 1-(ethenyloxy)-",C=COCCCC,1.001
"Benzeneacetamide, 4-butoxy-N-hydroxy- (9CI)",CCCCOc1ccc(CC(=O)NO)cc1,1.821
"Acetamide, N-(2-butoxyphenyl)- (9CI)",CCCCOc1ccccc1NC(C)=O,1.854
"Ether, butyl ethyl",CCCCOCC,1.7380000000000002
"2-Propanol, 1-butoxy-",CCCCOCC(C)O,1.779
"2-Propanol, 1-butoxy-3-phenoxy-",CCCCOCC(O)COc1ccccc1,1.976
"Propane, 1-butoxy-2,3-epoxy-",CCCCOCC1CO1,1.803
"Propanenitrile, 3-butoxy-",CCCCOCCC#N,1.232
"Propionic acid, 3-butoxy-",CCCCOCCC(=O)O,1.45
"Butane, 1,1'-oxybis-",CCCCOCCCC,1.245
"1-Propanol, 3-butoxy-",CCCCOCCCO,1.347
"Acrylic acid, 2-butoxyethyl ester (8CI)",C=CC(=O)OCCOCCCC,1.423
"Acetic acid, (2,4-dichlorophenoxy)-, 2-butoxyethyl ester (8CI,9CI)",CCCCOCCOC(=O)COc1ccc(Cl)cc1Cl,2.587
"Ethanol, 2-butoxy-, acetate",CCCCOCCOC(C)=O,1.824
"Ethane, 1-butoxy-2-ethoxy-",CCCCOCCOCC,1.713
"2-Propanol, 1-(2-butoxyethoxy)-",CCCCOCCOCC(C)O,1.644
"1-Propanol, 3-(2-butoxyethoxy)-",CCCCOCCOCCCO,1.533
Diethylene glycol monobutyl ether,CCCCOCCOCCO,1.457
"Toluene, alpha-(2-(2-butoxyethoxy)ethoxy)-4,5-(methylenedioxy)-2-propyl-",CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2,1.741
"Butane, 1,1'-(oxybis(2,1-ethanediyloxy))bis-",CCCCOCCOCCOCCCC,1.7480000000000002
"Ethanol, 2-(2-(2-butoxyethoxy)ethoxy)-",CCCCOCCOCCOCCO,1.486
"5,8,11,14,17-Pentaoxaheneicosane",CCCCOCCOCCOCCOCCOCCCC,1.673
"Ethanol, 2-butoxy-, phosphate (3:1)",CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC,2.123
"Acetamide, N-(butoxymethyl)-2-chloro-N-(2,6-diethylphenyl)-",CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,2.253
"Phosphorodithioic acid, O-butyl S-ethyl S-(phenylmethyl) ester (9CI)",CCCCOP(=O)(SCC)SCc1ccccc1,2.544
1-Butanethiol,CCCCS,1.779
"Ethanamine, 2-(((4-(butylthio)phenyl)phenylmethyl)thio)-N,N-dimethyl- (9CI)",CCCCSc1ccc(C(SCCN(C)C)c2ccccc2)cc1,1.976
"Butane, 1,1'-thiobis-",CCCCSCCCC,1.819
"Ether, 2-(butylthio)ethyl vinyl",C=COCCSCCCC,1.753
"Phosphorodiamidothioic acid, tetramethyl-, S-butyl ester",CCCCSP(=O)(N(C)C)N(C)C,3.033
"Phosphorotrithious acid, tributyl ester",CCCCSP(SCCCC)SCCCC,2.516
"Disulfide, butyl 1,2,2-trichloroethyl",CCCCSSC(Cl)C(Cl)Cl,2.705
"Propane, 1-nitro-",CCC[N+](=O)[O-],2.292
"Pentanoic acid, 4-(benzoylamino)-5-(dipropylamino)-5-oxo-, (+-)-",CCCN(CCC)C(=O)C(CCC(=O)O)NC(=O)c1ccccc1,1.223
"Carbamothioic acid, dipropyl-, S-ethyl ester",CCCN(CCC)C(=O)SCC,2.315
"Benzenamine, 4-methyl-2,6-dinitro-N,N-dipropyl- (9CI)",CCCN(CCC)c1c([N+](=O)[O-])cc(C)cc1[N+](=O)[O-],1.893
"Benzenamine, 4-(1-methylethyl)-2,6-dinitro-N,N-dipropyl- (9CI)",CCCN(CCC)c1c([N+](=O)[O-])cc(C(C)C)cc1[N+](=O)[O-],1.791
"1-Propanamine, N,N-dipropyl-",CCCN(CCC)CCC,3.299
"1-Propanamine, N-nitroso-N-propyl-",CCCN(CCC)N=O,2.4330000000000003
"Urea, 1-nitroso-1-propyl- (8CI)",CCCN(N=O)C(N)=O,2.436
"1H-Purine-2,6-dione, 3,7-dihydro-3-methyl-1-(5-oxohexyl)-7-propyl-",CCCn1cnc2c1c(=O)n(CCCCC(C)=O)c(=O)n2C,2.513
"Acetamidine, 2-ethoxy-2-phenyl-N-propyl-",CCCNC(=N)C(OCC)c1ccccc1,2.619
"Benzenesulfonamide, 4-chloro-N-((propylamino)carbonyl)-",CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,2.11
"Acetamidine, N,N'-dipropyl-2-ethoxy-2-phenyl-",CCCN=C(NCCC)C(OCC)c1ccccc1,3.4410000000000003
"Naphthalene-1,2-dicarboxyic acid, 1,2,3,4-tetrahydro-3-methyl-6,7-methylenedioxy-, dipropyl ester",CCCOC(=O)C1c2cc3c(cc2CC(C)C1C(=O)OCCC)OCO3,2.383
"Phosoporothioic acid, O,O-dimethyl S-(1,2-dipropoxycarbonyl)ethyl ester",CCCOC(=O)CC(SP(=O)(OC)OC)C(=O)OCCC,2.978
"Phosphorodithioic acid, O,O-dimethyl S-(1,2-dipropoxycarbonyl)ethyl ester",CCCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCCC,1.776
"Benzeneacetic acid, 4-(2-(diethylamino)-2-oxoethoxy)-3-methoxy-, propyl ester",CCCOC(=O)Cc1ccc(OCC(=O)N(CC)CC)c(OC)c1,2.6830000000000003
"Butanoic acid, 4-(diethylamino)-4-oxo-, propyl ester (9CI)",CCCOC(=O)CCC(=O)N(CC)CC,1.219
"2-Furancarbamic acid, propyl ester",CCCOC(=O)Nc1ccco1,2.024
"Peroxydicarbonic acid, dipropyl ester",CCCOC(=O)OOC(=O)OCCC,1.783
"Acetic acid, propyl ester",CCCOC(C)=O,1.037
"Formic acid, propyl ester",CCCOC=O,1.345
2-(Propyloxy)ethanol,CCCOCCO,1.528
"3,5-Pyridinedicarboxylic acid, 1,4-dihydro-2,6-dimethyl-4-(3-nitrophenyl)-, bis(2-propoxyethyl) ester",CCCOCCOC(=O)C1=C(C)NC(C)=C(C(=O)OCCOCCC)C1c1cccc([N+](=O)[O-])c1,2.524
"Acetic acid, 2-propoxyethyl ester",CCCOCCOC(C)=O,1.189
"Coumarin, 3-chloro-7-hydroxy-4-methyl-, dipropyl phosphate",CCCOP(=O)(OCCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,3.671
"Phosphoric acid, 2-chloroethyl 2,2-dichlorovinyl propyl ester",CCCOP(=O)(OC=C(Cl)Cl)OCCCl,4.0760000000000005
"Phosphonodithioic acid, ethyl-, O-propyl ester, S-ester with N-(mercaptomethyl)phthalimide",CCCOP(=S)(CC)SCN1C(=O)c2ccccc2C1=O,4.235
"Phosphonodithioic acid, ethyl-, S-((2,4-dichlorophenoxy)methyl) O-propyl ester",CCCOP(=S)(CC)SCOc1ccc(Cl)cc1Cl,3.658
"Phosphonodithioic acid, chloromethyl-, S-(p-chlorophenyl) O-propyl ester",CCCOP(=S)(CCl)Sc1ccc(Cl)cc1,3.596
"Phosphorodithioic acid, O-ethyl, O-propyl ester, S-ester N-(mercaptomethyl)phthalimide",CCCOP(=S)(OCC)SCN1C(=O)c2ccccc2C1=O,3.857
"Phosphorothioic acid, O-(p-(methylsulfinyl)phenyl) O,O-dipropyl ester",CCCOP(=S)(OCCC)Oc1ccc(S(C)=O)cc1,3.828
"Thiodiphosphoric acid (((HO)2P(S))2O), tetrapropyl ester (9CI)",CCCOP(=S)(OCCC)OP(=S)(OCCC)OCCC,2.925
"Phosphonothioic acid, methyl-, O-(4-nitrophenyl) O-propyl ester",CCCOP(C)(=S)Oc1ccc([N+](=O)[O-])cc1,4.963
"Phosphonic acid, propyl-, ethyl ester (7CI)",CCCP(=O)(O)OCC,1.82
1-Propanethiol,CCCS,1.629
"Propane, 1,1'-(1,2-ethenediylbis(sulfonyl))bis-, (E)- (9CI)",CCCS(=O)(=O)C=CS(=O)(=O)CCC,3.08
"Carbamothioic acid, dipropyl-, S-propyl ester (9CI)",CCCSC(=O)N(CCC)CCC,2.229
"Carbamic acid, (5-(propylthio)-1H-benzimidazol-2-yl)-, methyl ester",CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,2.044
"Phosphorodithioic acid, O,O-diethyl S-((propylthio)methyl) ester",CCCSCSP(=S)(OCC)OCC,4.9910000000000005
"Phosphorodithioic acid, O-methyl S,S-dipropyl ester",CCCSP(=O)(OC)SCCC,4.526
"Phosphorothioic acid, O-(4-bromo-2-chlorophenyl) O-ethyl S-propyl ester",CCCSP(=O)(OCC)Oc1ccc(Br)cc1Cl,3.019
"Phosphorothioic acid, O-ethyl S-propyl O-(2,4,6-trichlorophenyl) ester",CCCSP(=O)(OCC)Oc1c(Cl)cc(Cl)cc1Cl,3.26
"Phosphorothioic acid, O-(2,4-dichlorophenyl) O-ethyl S-propyl ester",CCCSP(=O)(OCC)Oc1ccc(Cl)cc1Cl,3.012
"Phosphorotrithioic acid, O-methyl S,S-dipropyl ester",CCCSP(=S)(OC)SCCC,4.184
"Phosphonodithioic acid, methyl-, O-2,4-dichlorophenyl S-propyl ester",CCCSP(C)(=S)Oc1ccc(Cl)cc1Cl,3.248
"Phosphonodithioic acid, methyl-, O-phenyl S-propyl ester",CCCSP(C)(=S)Oc1ccccc1,3.073
"Phosphonodithioic acid, methyl-, anhydride, dipropyl ester",CCCSP(C)(=S)OP(C)(=S)SCCC,3.696
"Succinic acid, mercapto-, diethyl ester, propyl methylphosphonotrithioate",CCCSP(C)(=S)SC(CC(=O)OCC)C(=O)OCC,2.714
"Acetic acid, mercapto-, ethyl ester, propyl methylphosphonotrithioate",CCCSP(C)(=S)SCC(=O)OCC,3.103
"Phosphonotrithioic acid, methyl-, dipropyl ester",CCCSP(C)(=S)SCCC,4.103
"Methane, chloro-",CCl,1.4480000000000002
"Ethane, nitro-",CC[N+](=O)[O-],1.834
"1-Naphthaleneacetamide, alpha-(2-ethylmethylaminoethyl)-alpha-(3-methyl-2-butenyl)-",CCN(C)CCC(CC=C(C)C)(C(N)=O)c1cccc2ccccc12,3.678
"Ethylamine, N-methyl-N-nitroso-",CCN(C)N=O,2.991
"Acetamide, N-ethyl-N-vinyl-",C=CN(CC)C(C)=O,1.663
"Ethenamine, N-ethyl-N-nitroso- (9CI)",C=CN(CC)N=O,3.056
"Isonicotinamide, 2,6-dichloro-N-cyclopropyl-N-ethyl-",CCN(C(=O)c1cc(Cl)nc(Cl)c1)C1CC1,3.5210000000000004
"N-Nitroso(2,2,2-trifluoroethyl)ethylamine",CCN(CC(F)(F)F)N=O,2.211
"Propionamide, N,N-diethyl-2-(1-naphthyloxy)-",CCN(CC)C(=O)C(C)Oc1cccc2ccccc12,1.735
"Phosphoric acid, dimethyl ester, ester with 2-chloro-N,N-diethyl-3-hydroxycrotonamide",CCN(CC)C(=O)C(Cl)=C(C)OP(=O)(OC)OC,4.574
"1,2,3-Triazole-4-carboxamide, N,N-diethyl-5-methyl-1-phenyl-",CCN(CC)C(=O)c1nnn(-c2ccccc2)c1C,2.713
"Benzamide, N,N-diethyl-4-hydroxy-3-methoxy-",CCN(CC)C(=O)c1ccc(O)c(OC)c1,3.161
"Benzamide, N,N-diethyl-4-methyl-",CCN(CC)C(=O)c1ccc(C)cc1,1.92
"Benzamide, N,N-diethyl-3-methyl-",CCN(CC)C(=O)c1cccc(C)c1,1.992
"Benzamide, N,N-diethyl-2-methyl-",CCN(CC)C(=O)c1ccccc1C,2.199
"Benzamide, N,N-diethyl-2-hydroxy-",CCN(CC)C(=O)c1ccccc1O,2.523
"Benzamide, o-allyloxy-N,N-diethyl-",C=CCOc1ccccc1C(=O)N(CC)CC,2.8560000000000003
"Acetamide, 2-chloro-N,N-diethyl-",CCN(CC)C(=O)CCl,2.476
"Carbamic acid, diethylthio-, S-(p-chlorobenzyl) ester",CCN(CC)C(=O)SCc1ccc(Cl)cc1,2.297
"Thioperoxydicarbonic diamide (((H2N)C(S))2S2), tetraethyl-",CCN(CC)C(=S)SSC(=S)N(CC)CC,2.773
"10H-Phenothiazine-10-ethanamine, N,N-diethyl-alpha-methyl-",CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21,2.264
"1,3,5-Triazine-2,4-diamine, 6-chloro-N,N,N',N'-tetraethyl- (9CI)",CCN(CC)c1nc(Cl)nc(N(CC)CC)n1,2.482
"1,3,5-Triazine-2,4-diamine, N,N-diethyl-6-methoxy-N'-(1-methylethyl)- (9CI)",CCN(CC)c1nc(NC(C)C)nc(OC)n1,2.432
"Phosphorothioic acid, O-(2-(diethylamino)-6-methyl-4-pyrimidinyl) O,O-dimethyl ester",CCN(CC)c1nc(C)cc(OP(=S)(OC)OC)n1,2.388
"Ethanamine, N,N-diethyl-",CCN(CC)CC,2.342
"1,3-Propanediamine, N,N-diethyl-",CCN(CC)CCCN,1.965
"1,2-Ethanediamine, N,N-diethyl-",CCN(CC)CCN,1.6130000000000002
"Benzamide, 4-amino-5-chloro-N-(2-(diethylamino)ethyl)-2-methoxy- (9CI)",CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,2.602
"Benzamide, 4-amino-N-(2-(diethylamino)ethyl)- (9CI)",CCN(CC)CCNC(=O)c1ccc(N)cc1,2.082
"Ethanol, 2-(diethylamino)-",CCN(CC)CCO,1.955
"2-Propenoic acid, 2-methyl-, 2-(diethylamino)ethyl ester",C=C(C)C(=O)OCCN(CC)CC,1.596
"2-Propenoic acid, 2-(diethylamino)ethyl ester",C=CC(=O)OCCN(CC)CC,2.347
"Benzeneethanol, 4-chloro-alpha-(4-(2-(diethylamino)ethoxy)phenyl)-alpha-(4-methylphenyl)- (9CI)",CCN(CC)CCOc1ccc(C(O)(Cc2ccc(Cl)cc2)c2ccc(C)cc2)cc1,2.34
"Butyric acid, 2-ethyl-2-phenyl-, 2-(2-(diethylamino)ethoxy)ethyl ester",CCN(CC)CCOCCOC(=O)C(CC)(CC)c1ccccc1,3.263
"Carbamothioic acid, diphenyl-, S-(2-(diethylamino)ethyl) ester",CCN(CC)CCSC(=O)N(c1ccccc1)c1ccccc1,2.948
"Acetic acid, ((2-(diethylamino)ethyl)thio)-, 6-ethenyldecahydro-5-hydroxy-4,6,9,10-tetramethyl-1-oxo-3a,9-propano-3aH-cyclopentacycloocten-8-yl ester (3aS-(3aalpha,4beta,5alpha,6alpha,8beta,9alpha,9abeta,10S*))-",C=CC1(C)CC(OC(=O)CSCCN(CC)CC)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,2.345
"1-Triazene, 3,3-diethyl-1-phenyl- (9CI)",CCN(CC)N=Nc1ccccc1,2.533
"Pyridine, 3-(3,3-diethyl-1-triazenyl)- (9CI)",CCN(CC)N=Nc1cccnc1,2.929
"Ethanamine, N-ethyl-N-nitroso-",CCN(CC)N=O,2.562
"Benzenesulfonamide, N,N-diethyl-",CCN(CC)S(=O)(=O)c1ccccc1,2.38
"Phosphoramidothioic acid, (ethyl(2-hydroxyethyl)-thiocarbamoyl)-, O,O-dimethyl ester",CCN(CCO)C(=S)NP(=S)(OC)OC,4.205
"Biuret, 1-ethyl-1-nitroso-",CCN(N=O)C(=O)NC(N)=O,2.1830000000000003
"Urea, 1-ethyl-1-nitroso-",CCN(N=O)C(N)=O,2.591
"1,8-Naphthyridine-3-carboxylic acid, 1-ethyl-1,4-dihydro-7-methyl-4-oxo-",CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,2.301
"Benzamide, 5-(aminosulfonyl)-N-((1-ethyl-2-pyrrolidinyl)methyl)-2-methoxy-",CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,1.5419999999999998
"(1,3)Dioxolo(4,5-g)cinnoline-3-carboxylic acid, 1,4-dihydro-1-ethyl-4-oxo-",CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,1.8
"Carbanilic acid, (1-ethylcarbamoyl)ethyl ester, D-(-)-",CCNC(=O)C(C)OC(=O)Nc1ccccc1,1.332
"Phosphoric acid, 2-chloro-3-(ethylamino)-1-methyl-3-oxo-1-propenyl dimethyl ester",CCNC(=O)C(Cl)=C(C)OP(=O)(OC)OC,3.866
"Phosphorodithioic acid, O,O-dimethyl ester, S-ester with N,N'-diethyl2-mercaptomalonamide",CCNC(=O)C(SP(=S)(OC)OC)C(=O)NCC,2.497
"Butanamide, N-ethyl-3-oxo- (9CI)",CCNC(=O)CC(C)=O,0.959
"Phosphorodithioic acid, O,O-dimethyl ester, S-ester with N-ethyl-2-mercaptoacetamide",CCNC(=O)CSP(=S)(OC)OC,3.289
"Urea, 1-ethyl-3-(5-nitro-2-thiazolyl)-",CCNC(=O)Nc1ncc([N+](=O)[O-])s1,2.002
