Drug,Y
CCC(CO)CC(C)C,1.482
CCC(CO)NCCNC(CC)CO,2.311
CCC(COC(=O)CC(C)=O)(COC(=O)CC(C)=O)COC(=O)CC(C)=O,1.107
CCC(COc1ccc(C(C)(C)C)cc1)OS(=O)Oc1ccccc1C,1.372
CCC(Cc1c(I)cc(I)c(N)c1I)C(=O)O,2.569
CCC(Cl)(Cl)Cl,1.296
CCC(Cl)Cl,1.24
CCC(O)(CC)c1n[nH]cc1Cl,2.903
CCC(O)(c1ccccc1)c1cccc(C(F)(F)F)c1,2.0980000000000003
CCC(O)CC,1.673
CCC(O)CCO,0.7170000000000001
CCC(O)CO,0.7509999999999999
CCC(O)OC(O)CC,0.956
CCC(O)OCCCOC,1.46
CCC(OC(N)=O)c1ccccc1Cl,2.478
CCC(c1ccccc1)c1c(O)c2ccccc2oc1=O,3.147
CCC1(C(C)CC(C)C)C(=O)NC(=O)NC1=O,3.506
CCC1(C)C(=O)N(CC2CO2)C(=O)N1CC1CO1,3.007
CCC1(C)CC(=O)NC1=O,1.89
CCC1(C)OCCO1,1.6130000000000002
CCC1(C)Oc2cccc(OC(=O)NC)c2O1,3.977
CCC1(C2OC(C3OC(O)(CO)C(C)CC3C)CC2C)CCC(C2(C)CCC3(CC(O)C(C)C(C(C)C(OC)C(C)C(=O)O)O3)O2)O1,3.827
CCC1(CC)C(=O)C=CNC1=O,2.331
CCC1(CC)C(=O)NCC(C)C1=O,2.329
CCC1(CC)Oc2cccc(OC(=O)N(C)C(C)=O)c2O1,2.893
CCC1(CC)Oc2cccc(OC(=O)NC)c2O1,3.737
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,2.957
CCC1(CCl)COC1,2.373
CCC1(CO)CCCN2CCc3c([nH]c4ccccc34)C21,2.375
CCC1(NC(N)=O)CCCC1,2.216
CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,3.357
CCC1(O)CC(OC2CC(N(C)C)C(OC3CC(O)C(OC4CCC(=O)C(C)O4)C(C)O3)C(C)O2)c2c(cc3c(c2O)C(=O)c2c(O)cccc2C3=O)C1C(=O)OC,4.142
CCC1(O)CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,2.756
CCC1(OC(C)=O)CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,2.807
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,3.156
CCC1(c2ccccc2)CCC(=O)NC1=O,2.559
CCC1(c2ccccc2)CCNC1=O,2.281
CCC1(c2ccccc2)NC(=O)N(C)C1=O,2.41
CCC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O,1.781
CCC12CCCN3CCc4c(n(c5ccccc45)C(O)(C(=O)OC)C1)C32,2.47
CCC12COP(=O)(OC1)OC2,4.762
CCC1=CSC(S)N1,3.624
CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,2.573
CCC1C(=O)OCC1Cc1cncn1C,2.714
CCC1C(C)=NN=C(c2ccc(OC)c(OC)c2)c2cc(OC)c(OC)cc21,2.6660000000000004
CCC1C(c2ccccc2)=CCC(C(=O)O)C1C,2.017
CCC1CC2C3CCC4=CC(=O)CCC4C3CCC2(C)C1O,1.398
CCC1CC2CC3c4[nH]c5ccc(OC)cc5c4CCN(C2)C13,2.977
CCC1CCC(C)NC1,2.372
CCC1CCC(CC)O1,1.5759999999999998
CCC1CCC2CN(N=Cc3c4c(O)c5c(O)c(C)c6c(c5c3O)C(=O)C(C)(OC=CC(OC)C(C)C(OC(C)=O)C(C)C(O)C(C)C(O)C(C)C=CC=C(C)C(=O)N4)O6)CCN2C1,2.394
CCC1CCCC(CC)C1N,2.995
CCC1CO1,2.1590000000000003
CCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,2.388
CCC1Cc2cc(CC(=O)O)ccc2O1,2.202
CCC1NC(=O)c2cc(N)ccc2O1,2.007
CCC1NC(=O)c2ccccc2O1,2.131
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,2.2030000000000003
CCC1OC1(C)C,1.457
CCC1OCCSC1=NOC(=O)NC,4.06
CCC1OCSC1=NOC(=O)NC,3.93
CCC1OP(=S)(Cl)OC2CCCCC12,3.26
CCC=C(C)C=O,1.359
CCC=C(C)CO,1.3090000000000002
CCC=C1OC(=O)c2ccccc21,2.024
CCC=CC1C(C(=O)OCc2coc(Cc3ccccc3)c2)C1(C)C,2.6260000000000003
CCC=CC=CC=O,1.981
CCC=CCC=O,1.7990000000000002
CCC=CCCO,1.329
CCC=CCCOC(=O)c1ccccc1O,1.644
CCC=CCCOCC=O,1.54
CCC=O,1.615
CCCC#N,3.141
CCCC(=NOCC)C1=C(O)CC(C2CCCSC2)CC1=O,1.917
CCCC(=NOCC)C1=C(O)CC(CC(C)SCC)CC1=O,2.01
CCCC(=O)C(CC)Cc1ccccc1,1.6669999999999998
CCCC(=O)C1c2cccc(O)c2C(=O)c2c(O)cccc21,2.273
CCCC(=O)CCC,1.486
CCCC(=O)N(C)C(=O)ON=C1CSCCS1,2.14
CCCC(=O)N(CSP(=S)(OC)OC)c1ccccc1Cl,3.975
CCCC(=O)NP(=O)(OC)SC,3.228
CCCC(=O)O,1.644
CCCC(=O)OC(=C(Cl)Cl)P(=O)(OC)OC,2.425
CCCC(=O)OC(=O)CCC,1.255
CCCC(=O)OC1(C(=O)COC(=O)CC)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,1.98
CCCC(=O)OC1=C(OC(=O)CCC)C(=O)OC1=O,1.256
CCCC(=O)OC1CCC(N2CCCCC2)CC1,2.123
CCCC(=O)OCC,0.951
CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,1.975
CCCC(=O)OCC=C(C)CCC=C(C)C,1.3230000000000002
CCCC(=O)OCCc1ccccc1,1.621
CCCC(=O)OCN(C)N=O,2.301
CCCC(=O)Oc1ccc(OC)cc1,1.757
CCCC(=O)c1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2,2.834
CCCC(=O)c1ccc2c(c1)N(CCCN1CCOCC1)c1ccccc1S2,2.0540000000000003
CCCC(C)(C)C(=O)Nc1ccc(Cl)cc1,1.965
CCCC(C)(C)O,2.31
CCCC(C)(COC(N)=O)COC(=O)NC(C)C,2.295
CCCC(C)(COC(N)=O)COC(N)=O,2.339
CCCC(C)(Oc1ccc(Cc2ccc(Cl)cc2)cc1)C(=O)OCc1cccnc1,1.6269999999999998
CCCC(C)C(=O)O,1.755
CCCC(C)CCOC(=O)c1ccccc1C(=O)OCCC(C)CCC,1.009
CCCC(C)CO,1.86
CCCC(C)COCCO,1.5930000000000002
CCCC(C)COCCOCCO,1.527
CCCC(C)OP(=S)(OC)OC,2.834
CCCC(CC(OCC)OCC)OCC,1.109
CCCC(CCC)C(N)=O,2.207
CCCC(Cc1ccccc1)N1CCCC1,3.141
CCCC(N)(CCC)CCC,3.0660000000000003
CCCC(O)C(CC)CO,2.019
CCCC(O)CO,0.914
CCCC(c1cc(C)cc(C)c1O)c1cc(C)cc(C)c1O,1.734
CCCC(c1ccc(CCCl)cc1)c1c(O)c2ccccc2oc1=O,4.297
CCCC1(CC(=O)O)OCCc2c1[nH]c1ccccc21,2.2840000000000003
CCCC1=NN(c2ccccc2)C(=O)C1C=O,2.479
CCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,2.745
CCCC1CC(C(=O)NC(C(C)O)C2OC(SC)C(O)C(O)C2O)N(C)C1,2.609
CCCC1OC1(CC)C(N)=O,2.1
CCCC1OC1(CC)CO,1.456
CCCC1OCC(CC)([N+](=O)[O-])CO1,2.007
CCCC1OCSC1=NOC(=O)NC,3.42
CCCC1OP(=O)(Cl)OCC1CC,3.957
CCCC1OP(=S)(Cl)OCC1CC,2.908
CCCC=C(CC)C(=O)O,1.4
CCCC=C(CC)[N+](=O)[O-],2.364
CCCC=C1OC(=O)c2ccccc21,2.007
CCCC=CC(OC)OC,1.929
CCCC=CC(OCC)OCC,2.302
CCCC=CC=O,2.1
CCCC=CCO,1.457
CCCC=O,1.462
CCCCBr,1.696
CCCCC(=O)OCC(=O)C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,3.18
CCCCC(=O)c1ccc(N)cc1,3.324
CCCCC(C)(C)C(O)C=CC1C(C)CC(=O)C1CC=CCCCC(=O)O,4.236000000000001
CCCCC(C)(C)O,2.151
CCCCC(C)(C)O[Si](OC(C)(C)CCCC)(OC(C)(C)CCCC)OC(C)(C)CCCC,0.909
CCCCC(C)=O,1.587
CCCCC(C)CC(O)C=CC1C(O)CC(=O)C1CC(=O)CCCCC(=O)OC,3.97
CCCCC(C=O)CC,1.536
CCCCC(CC)(C(=O)OCC)C(=O)OCCN(CC)CC,2.694
CCCCC(CC)(COC(N)=O)COC(N)=O,2.571
CCCCC(CC)C(=O)O,1.682
CCCCC(CC)C(=O)OC1=C(c2c(C)cc(C)cc2C)C(=O)c2ccccc21,4.388
CCCCC(CC)C(=O)OCCOCCOCCOC(=O)C(CC)CCCC,1.113
CCCCC(CC)C(=O)OCCOCCOCCOCCOC(=O)C(CC)CCCC,1.395
CCCCC(CC)C(=O)O[Si](C)(OC(=O)C(CC)CCCC)OC(=O)C(CC)CCCC,2.317
CCCCC(CC)CN,2.458
CCCCC(CC)CN(CCO)CC(CC)CCCC,1.764
CCCCC(CC)CN1C(=O)C2C3C=CC(C3)C2C1=O,1.993
CCCCC(CC)CNCC(C)(N)CNCC(CC)CCCC,2.612
CCCCC(CC)CNCC(CC)CCCC,2.168
CCCCC(CC)CNc1ccccc1,1.93
CCCCC(CC)COC(=O)C(CC)CCCC,0.978
CCCCC(CC)COC(=O)C1=C(C(=O)OCC(CC)CCCC)CCCC1,0.539
CCCCC(CC)COC(=O)C=CC(=O)OCC(CC)CCCC,1.067
CCCCC(CC)COC(=O)CCCCCCCC(=O)OCC(CC)CCCC,1.675
CCCCC(CC)COC(=O)CCCCCCCCC(=O)OCC(CC)CCCC,1.523
CCCCC(CC)COC(=O)CCCCCCCCCCC(=O)OCC(CC)CCCC,1.325
CCCCC(CC)COC(=O)COc1cc(Cl)c(Cl)cc1Cl,2.867
CCCCC(CC)COC(=O)COc1ccc(Cl)cc1Cl,3.0460000000000003
CCCCC(CC)COC(=O)Cl,1.551
CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,1.106
CCCCC(CC)COC(=O)c1ccccc1C(=O)OCc1ccccc1,0.7879999999999999
CCCCC(CC)COC(C)=O,1.759
CCCCC(CC)COC(CBr)c1ccc(C2CCCCC2)cc1,3.199
CCCCC(CC)COC(CBr)c1ccc(Cl)c(Cl)c1,3.184
CCCCC(CC)COC(CBr)c1cccc(C2CCCCC2)c1,3.199
CCCCC(CC)COC(CBr)c1cccc(Cl)c1,3.143
CCCCC(CC)COC(N)=O,1.74
CCCCC(CC)COCC(CC)CCCC,0.853
CCCCC(CC)COCC1CO1,1.378
CCCCC(CC)COCCC#N,1.571
CCCCC(CC)COCCC(=O)O,1.734
CCCCC(CC)COCCCN,2.767
CCCCC(CC)COCCO,1.753
CCCCC(CC)COP(=O)(Cl)OCC(CC)CCCC,2.055
CCCCC(CC)COP(=O)(O)OCC(CC)CCCC,1.815
CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC,1.07
CCCCC(CC)COP(=O)(OCCCO)OCC(CC)CCCC,1.527
CCCCC(CC)COP(=S)(S)OCC(CC)CCCC,2.219
CCCCC(CC)COP(OCC(CC)CCCC)OCC(CC)CCCC,1.592
CCCCC(CC)COP(Oc1ccccc1)Oc1ccccc1,2.265
CCCCC(CC)CO[Si](OCC(CC)CC)(OCC(CC)CC)OCC(CC)CCCC,0.941
CCCCC(CC)OCCO,1.847
CCCCC(Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)(C(=O)OC1CC(C)(C)N(C)C(C)(C)C1)C(=O)OC1CC(C)(C)N(C)C(C)(C)C1,2.66
CCCCC(O)CCOC(C)=O,1.319
CCCCC1(CCc2ccccn2)C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,1.963
CCCCC1(COC(=O)CCC(=O)O)C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,2.411
CCCCC1C(=O)NC(=O)N(C2CCCCC2)C1=O,2.378
CCCCC1C(=O)NN(c2ccccc2)C1=O,2.123
CCCCC1OC(=O)c2ccccc21,1.89
CCCCC=C1CCCCC1=O,1.5219999999999998
CCCCC=CC=CC=CCCCCCCCC(=O)OC,1.767
CCCCC=CC=O,1.936
CCCCC=CCCCCCCO,1.196
CCCCC=O,1.274
CCCCCC,0.477
CCCCCC#CC(=O)OC,2.003
CCCCCC(=Cc1ccccc1)CO,1.7080000000000002
CCCCCC(=O)NO,1.6130000000000002
CCCCCC(=O)NP(=O)(OC)SC,3.981
CCCCCC(=O)c1ccc(N)cc1,2.947
CCCCCC(C)(O)CC,1.628
CCCCCC(C)=O,1.835
CCCCCC(C=O)=Cc1ccccc1,1.734
CCCCCC(CC)c1cc([N+](=O)[O-])c(OC(=O)OC)c([N+](=O)[O-])c1,2.887
CCCCCC(CO)CCC,1.371
CCCCCC(O)C=CC1C(O)CC(=O)C1CCCCCCC(=O)O,3.192
CCCCCC(O)C=CC1C(O)CC(O)C1CC=CCCCC(=O)O,2.481
CCCCCC1=C(C)CCC1=O,1.823
CCCCCC1=CCCC1=O,1.84
CCCCCC1CCC(=O)O1,1.374
CCCCCC=CCC=CCCCCCCCC(=O)N(CCO)CCO,1.5319999999999998
CCCCCCC#CC(=O)OC,1.88
CCCCCCC#COC(=O)OCC,1.842
CCCCCCC(=O)NO,1.6569999999999998
CCCCCCC(=O)OCCOCCOCCOCCOC(=O)CCCCCC,1.224
CCCCCCC(C)=CC#N,1.944
CCCCCCC(C)=O,1.618
CCCCCCC(C)I,1.467
CCCCCCC(C=O)=Cc1ccccc1,1.844
CCCCCCC(CC=CCCCCCCCC(=O)OCCOC)OC(C)=O,1.422
CCCCCCC(CO)CCCC,1.156
CCCCCCC(O)C1C2=C(CC(C(O)C3CC=CC(=O)O3)CC3=C(C(=O)OC3=O)C1O)C(=O)OC2=O,3.113
CCCCCCC1=CC(=O)CC(c2ccc3c(c2)OCO3)C1,1.7619999999999998
CCCCCCC=CC=O,1.4480000000000002
CCCCCCC=NO,2.092
CCCCCCC=O,0.911
CCCCCCCC(=O)NO,1.173
CCCCCCCC(=O)O,1.156
CCCCCCCC(=O)OCC,0.8220000000000001
CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC,1.15
CCCCCCCC(=O)Oc1c(Br)cc(C#N)cc1Br,3.207
CCCCCCCC(=O)Oc1c(I)cc(C#N)cc1I,3.418
CCCCCCCC(=O)Oc1ccc(C)cc1,2.166
CCCCCCCC(C)=O,1.648
CCCCCCCC1CCC(=O)O1,0.998
CCCCCCCC=O,1.357
CCCCCCCCBr,1.585
CCCCCCCCC1OC1CCCCCCCC(=O)OCC(CC)CCCC,1.125
CCCCCCCCC=CCCCCCCCC(=O)N(CCO)CCO,1.474
CCCCCCCCC=CCCCCCCCC(=O)O,0.5820000000000001
CCCCCCCCCC(=O)OC1(c2ccc(Cl)cc2)CCN(CCCC(=O)c2ccc(F)cc2)CC1,2.49
CCCCCCCCCC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,4.493
CCCCCCCCCC(C)=O,1.5319999999999998
CCCCCCCCCC1(C)OCC(COC(N)=O)O1,1.981
CCCCCCCCCC=O,1.622
CCCCCCCCCCCC(=O)N(CCO)CCO,2.027
CCCCCCCCCCCC(=O)NP(=O)(OC)SC,3.51
CCCCCCCCCCCC(=O)OCC(O)CO,0.7859999999999999
CCCCCCCCCCCC(=O)OCCSC#N,2.757
CCCCCCCCCCCC=O,0.904
CCCCCCCCCCCCC(Br)C(=O)O,2.584
CCCCCCCCCCCCCC(=O)NP(=O)(OC)SC,3.5460000000000003
CCCCCCCCCCCCCCCCCC(=O)Cl,1.606
CCCCCCCCCCCCCCCCCC(=O)NC(CCC(=O)O)C(=O)O,2.139
CCCCCCCCCCCCCCCCCC(=O)OCC(O)C1OCC(O)C1O,1.143
CCCCCCCCCCCCCCCCCC(=O)OCCCC,1.027
CCCCCCCCCCCCCCCCCC(O)c1ccc(C(=O)O)c(Cl)c1,1.929
CCCCCCCCCCCCCCCCCC1=NC(C)(C)CC(C)N1,2.869
CCCCCCCCCCCCCCCCCC1=NCCN1,1.988
CCCCCCCCCCCCCCCCCC1=NCCN1CCO,1.967
CCCCCCCCCCCCCCCCCCN,2.051
CCCCCCCCCCCCCCCCCCO,1.131
CCCCCCCCCCCCCCCCCCOC(=O)Cc1ccc(N(CCCl)CCCl)cc1,3.422
CCCCCCCCCCCCCCCCO,1.686
CCCCCCCCCCCCCCCCOC(=O)C1CC1,1.406
CCCCCCCCCCCCCCCCSCC(COC)COP(=O)([O-])OCC[N+](C)(C)C,3.318
CCCCCCCCCCCCCCCN,2.537
CCCCCCCCCCCCCCO,0.904
CCCCCCCCCCCCCCOC(=O)Cc1ccc(N(CCCl)CCCl)cc1,4.012
CCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,2.303
CCCCCCCCCCCCCCSC#N,1.231
CCCCCCCCCCCCCN1CC(C)OC(C)C1,2.661
CCCCCCCCCCCCCO,1.0659999999999998
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,2.521
CCCCCCCCCCCCN,2.259
CCCCCCCCCCCCN(C)C,2.46
CCCCCCCCCCCCN1CCN(CC(=O)NN=Cc2ccc([N+](=O)[O-])o2)CC1,2.539
CCCCCCCCCCCCNCC(C)N,2.937
CCCCCCCCCCCCO,1.163
CCCCCCCCCCCCOC(=O)Cc1ccc(N(CCCl)CCCl)cc1,3.791
CCCCCCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1,1.831
CCCCCCCCCCCCOC(CBr)c1ccc(C(C)C)cc1,3.216
CCCCCCCCCCCCOS(=O)(=O)O,2.312
CCCCCCCCCCCCSC#N,2.26
CCCCCCCCCCCCc1ccc(S(=O)(=O)O)cc1,2.701
CCCCCCCCCCCCc1ccccc1O,2.097
CCCCCCCCCCCO,1.759
CCCCCCCCCCCOC(=O)Cc1ccc(N(CCCl)CCCl)cc1,3.935
CCCCCCCCCCCl,-0.3429999999999999
CCCCCCCCCCF,4.506
CCCCCCCCCCN,2.75
CCCCCCCCCCOC(=O)Cc1ccc(N(CCCl)CCCl)cc1,3.443
CCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCC,1.237
CCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,0.901
CCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,0.969
CCCCCCCCCCc1ccccc1S(=O)(=O)O,2.109
CCCCCCCCCO,1.608
CCCCCCCCCc1cc(C)cc(Cc2cc(C)cc(CCCCCCCCC)c2O)c1O,1.163
CCCCCCCCCc1ccc(C)cc1O,1.768
CCCCCCCCN1CCCC1=O,1.983
CCCCCCCCOC(=O)C1=C(C)NC(C)=C(C(=O)NC2CC2)C1c1ccccc1[N+](=O)[O-],3.973
CCCCCCCCOC(=O)C=CC(=O)OCCCCCCCC,1.38
CCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1,2.1590000000000003
CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,0.92
CCCCCCCCOC(CBr)c1ccc(C2CCCC2)cc1,3.1830000000000003
CCCCCCCCOC(CBr)c1ccc(C2CCCCC2)cc1,3.199
CCCCCCCCOP(=O)(O)OCCC(Cl)Cl,1.494
CCCCCCCCOP(OCC(CC)CCCC)Oc1ccccc1,1.7380000000000002
CCCCCCCCP(=O)(CCCCCCCC)CCC(C)C,1.615
CCCCCCCCSC(=O)Oc1cc(Cl)nnc1-c1ccccc1,2.2840000000000003
CCCCCCCC[Si](OCC)(OCC)OCC,1.495
CCCCCCCCc1ccc(-c2ccc(C#N)cc2)cc1,2.122
CCCCCCCCc1ccc(-c2ccccc2)cc1,2.045
CCCCCCCCc1ccc(C(CBr)OCCCC)cc1,3.17
CCCCCCCCc1ccc(C)cc1O,1.741
CCCCCCCCn1sccc1=O,2.589
CCCCCCCOCCO,1.847
CCCCCCCOCCOCCO,1.842
CCCCCCCc1cc(C)c(O)c(C)c1,2.139
CCCCCCCc1ccc(C)cc1O,1.793
CCCCCCCc1ccccc1O,1.845
CCCCCCN,2.1790000000000003
CCCCCCNCCCCCC,2.688
CCCCCCOC(=O)C(O)c1ccccc1,1.143
CCCCCCOC(=O)CCCCCCCC(=O)OCCCCCC,1.348
CCCCCCOC(=O)c1ccccc1,1.225
CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,1.053
CCCCCCOC(C)=O,0.536
CCCCCCOCCCCCC,0.78
CCCCCCOCCO,1.995
CCCCCCOCCOC(=O)CCC(=O)OCCOCCCCCC,1.942
CCCCCCOCCOCCOCC,1.6469999999999998
CCCCCCOc1ccc(NNC=O)cc1,2.518
CCCCCCS,1.974
CCCCCCc1ccc(C)cc1O,1.922
CCCCCCc1ccc(O)cc1O,2.548
CCCCCCc1ccccc1O,2.137
CCCCCN(CCCCC)CC(=O)NN=Cc1ccc([N+](=O)[O-])o1,2.644
CCCCCN(CCCCC)N=O,2.027
CCCCCNCCCCC,2.765
CCCCCOC(=O)C=CC(=O)OCCCCC,1.717
CCCCCOC(=O)CCC,1.113
CCCCCOC(C)=O,1.3019999999999998
CCCCCOC(CBr)c1ccc(C(C)C)cc1,3.0980000000000003
CCCCCOC(CBr)c1ccc(C2CCCC2)cc1,3.133
CCCCCOC(CBr)c1ccc(C2CCCCC2)cc1,3.15
CCCCCOP(=O)(OCCCCC)OCCCCC,1.12
CCCCCOc1c(Br)cc(Br)cc1COCCN(CC)CC,3.11
CCCCCOc1ccc(Br)cc1COCCN(CC)CC,3.0660000000000003
CCCCCOc1cccc(NC(=O)OC2CCCCC2N2CCCC2)c1,2.5610000000000004
CCCCC[Si](OCC)(OCC)OCC,1.069
CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CC=C(C)CC21,2.563
CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CCC(C)=CC21,2.674
CCCCCc1ccccc1O,2.37
CCCCCn1ncc(OP(=S)(OCC)OC(C)C)c(OC)c1=O,4.624
CCCCN,2.301
CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,2.398
CCCCN(C)CCCC,2.424
CCCCN(C)N=O,2.951
CCCCN(CC)C(=O)SCCC,2.344
CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],1.525
CCCCN(CCC#N)CCCC,1.749
CCCCN(CCCC)C(=O)N(CCCC)CCCC,1.224
CCCCN(CCCC)C(=O)SCc1ccccc1,1.6980000000000002
CCCCN(CCCC)CC(C)O,1.974
CCCCN(CCCC)SN(C)C(=O)ON=CC(C)(C)SC,4.447
CCCCN(CCCCO)N=O,1.986
CCCCN(CCN(CCCC)C(=O)N1CCOCC1)C(=O)N1CCOCC1,3.169
CCCCN(CCO)CCCC,2.209
CCCCN(COC(C)=O)N=O,2.065
CCCCN(N=O)C(N)=O,2.56
CCCCN1C(=O)C2C3C=C(C(O)(c4ccccc4)c4ccccn4)C(C3=C(c3ccccc3)c3ccccn3)C2C1=O,4.8
CCCCN1C(=O)C2CC=CCC2C1=O,1.934
CCCCN1C(=O)c2ccc([N+](=O)[O-])cc2C1=O,2.268
CCCCN1C(=O)c2cccc([N+](=O)[O-])c2C1=O,2.087
CCCCN1CC(C)CN=C1C(OCC)c1ccccc1,2.518
CCCCN1CCCC1=Nc1ccc(Cl)c(Cl)c1,1.971
CCCCN1CCOCC1,2.627
CCCCN=C(NCCCC)C(OCC)c1ccc(Cl)cc1,3.169
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,2.036
CCCCNC(=O)OCC(C)(CCC)COC(N)=O,2.421
CCCCNC(=O)OCC(O)C1COc2ccccc2O1,2.294
CCCCNC(=O)c1ccccc1,1.538
CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc21,1.463
CCCCNC(=S)N(CCCC)CCCC,1.911
CCCCNC(=S)NCCCC,2.7310000000000003
CCCCNC(=S)Nc1ccccc1,3.143
CCCCNC(C)c1ccccc1,2.692
CCCCNC(N)=O,1.966
CCCCNC1(P(=O)(OCCCC)OCCCC)CCCCC1,2.064
CCCCNCC,2.514
CCCCNCC(O)COc1ccc(-c2c(-c3ccccc3)c(=O)oc3cc(OC)ccc23)cc1,2.9760000000000004
CCCCNCC1COc2cccc(OCC)c2O1,2.882
CCCCNCCCC,2.835
CCCCNCCCCCCN,2.507
CCCCNCCC[Si](OC)(OC)OC,1.265
CCCCNCCO,2.008
CCCCNS(=O)(=O)c1ccccc1,2.017
CCCCNc1ccccc1,1.964
CCCCO,1.972
CCCCOC(=O)C(C)Oc1ccc(Oc2ccc(C(F)(F)F)cn2)cc1,2.135
CCCCOC(=O)C(Cl)(Cl)C(Cl)=C(Cl)Cl,2.177
CCCCOC(=O)C1CC1OCCCC,3.951
CCCCOC(=O)C1OC1C,2.5
CCCCOC(=O)C=CC(=O)OCC1CO1,2.507
CCCCOC(=O)C=CC(=O)OCCCC,1.787
CCCCOC(=O)CC(C(=O)OCCCC)P(=O)(OCCCC)OCCCC,1.228
CCCCOC(=O)CC(C)=O,1.148
CCCCOC(=O)CC(SP(=O)(OC)OC)C(=O)OCCCC,2.857
CCCCOC(=O)CCC(=O)OCCCC,1.459
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,1.293
CCCCOC(=O)CCCOc1ccc(Cl)cc1Cl,3.007
CCCCOC(=O)COc1ccc(Cl)cc1Cl,2.665
CCCCOC(=O)Cc1ccc(N(CCCl)CCCl)cc1,4.22
CCCCOC(=O)Oc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],3.0210000000000004
CCCCOC(=O)c1ccc(-n2nc(OCCN3CCCCC3)c3ccccc32)cc1,2.324
CCCCOC(=O)c1ccccc1,1.54
CCCCOC(=O)c1ccccc1C(=O)OCCCC,1.541
CCCCOC(=O)c1ccccc1C(=O)OCCOCCOC(=O)c1ccccc1C(=O)OCCCC,1.67
CCCCOC(=O)c1ccccc1Nc1cccc(C(F)(F)F)c1,2.82
CCCCOC(=O)n1c(Br)nc(Br)c1Br,3.964
CCCCOC(C)COC(=O)COc1cc(Cl)c(Cl)cc1Cl,2.869
CCCCOC(C)OCCCC,1.297
CCCCOC(C1=NCCCN1)c1ccccc1,2.9
CCCCOC(OCCCC)C(OCCCC)OCCCC,1.554
CCCCOCC,1.7380000000000002
CCCCOCC(C)O,1.779
CCCCOCC(O)COc1ccccc1,1.976
CCCCOCC1CO1,1.803
CCCCOCCC#N,1.232
CCCCOCCC(=O)O,1.45
CCCCOCCCC,1.245
CCCCOCCCO,1.347
CCCCOCCCOC(=O)CCOc1cc(Cl)c(Cl)cc1Cl,2.885
CCCCOCCCOC(=O)COc1ccc(Cl)cc1Cl,2.826
CCCCOCCOC(=O)COc1cc(Cl)c(Cl)cc1Cl,2.852
CCCCOCCOC(=O)COc1ccc(Cl)cc1Cl,2.587
CCCCOCCOC(=O)c1ccccc1C(=O)OCCOCCCC,1.641
CCCCOCCOC(C)=O,1.824
CCCCOCCOCC,1.713
CCCCOCCOCC(C)O,1.644
CCCCOCCOCCCO,1.533
CCCCOCCOCCO,1.457
CCCCOCCOCCOC(C)=O,1.497
CCCCOCCOCCOC(OCCOCCOCCCC)c1ccc2c(c1)OCO2,2.191
